"pais","estratopri","cve_ent","prov","municipio","cve_mun","year","q2","vic1ext","b21a","b32","ing4","it1","pn4"
"México","Centro Occidente",11,"Guanajuato","Apaseo el Grande","11005",2010,"20","0","Algo","Poco","Ligeramente en de acuerdo","Nada confiable","Insatisfecho(a)"
"México","Norte",8,"Chihuahua","Bocoyna","08009",2010,"35","0","Poco","Poco","Ligeramente en desacuerdo","Algo confiable","Muy insatisfecho(a)"
"México","Norte",19,"Nuevo León","Apodaca","19006",2010,"33","1","Bastante","Bastante","De acuerdo","Algo confiable","Satisfecho(a)"
"México","Norte",19,"Nuevo León","Cerralvo","19011",2010,"21","0","Bastante","Mucho","Ligeramente en desacuerdo","Muy confiable","Satisfecho(a)"
"México","Centro",13,"Hidalgo","Ajacuba","13005",2010,"25","0","Algo","Poco","De acuerdo","Nada confiable","Satisfecho(a)"
"México","Centro Occidente",11,"Guanajuato","Abasolo","11001",2010,"27","1","Moderado","Moderado","Ligeramente en desacuerdo","Algo confiable","Insatisfecho(a)"
"México","Centro Occidente",14,"Jalisco","Atemajac de Brizuela","14010",2010,"28","1","Mucho","Moderado","En desacuerdo","Muy confiable","Muy insatisfecho(a)"
"México","Centro Occidente",22,"Querétaro","Huimilpan","22008",2010,"75","0","Algo","Moderado",NA,"Muy confiable","Insatisfecho(a)"
"México","Centro Occidente",14,"Jalisco","La Barca","14018",2010,"25","0","Bastante","Algo","Muy de acuerdo","Algo confiable","Satisfecho(a)"
"México","Centro Occidente",14,"Jalisco","Ahualulco de Mercado","14003",2010,"30","0","Mucho","Mucho","De acuerdo","Muy confiable","Satisfecho(a)"
"México","Centro Occidente",11,"Guanajuato","Abasolo","11001",2010,"48","0","Moderado","Poco","De acuerdo","Poco confiable","Satisfecho(a)"
"México","Centro",15,"México","Atlacomulco","15014",2010,"35","0","Algo","Poco","Ligeramente en desacuerdo","Nada confiable","Insatisfecho(a)"
"México","Centro",9,"Ciudad de México","Miguel Hidalgo","09016",2010,"44","0","Moderado","Moderado","Ni en acuerdo ni en desacuerdo","Poco confiable","Satisfecho(a)"
"México","Sur",30,"Veracruz de Ignacio de la Llave","La Antigua","30016",2010,"30","0","Nada","Poco","Ligeramente en desacuerdo","Nada confiable","Satisfecho(a)"
"México","Norte",19,"Nuevo León","Apodaca","19006",2010,"41","1","Mucho","Mucho","Muy de acuerdo","Algo confiable","Satisfecho(a)"
"México","Norte",2,"Baja California","Playas de Rosarito","02005",2010,"35","1","Mucho","Muy poco","Muy de acuerdo","Algo confiable","Satisfecho(a)"
"México","Centro",13,"Hidalgo","Ajacuba","13005",2010,"37","0","Bastante","Poco","Ligeramente en de acuerdo","Algo confiable","Insatisfecho(a)"
"México","Centro Occidente",14,"Jalisco","Amacueca","14004",2010,"38","0","Mucho","Mucho","Muy de acuerdo","Muy confiable","Muy satisfecho(a)"
